Player,position,x1_goalspergame,x2_assists,x3_passingacc,x4_longballacc,x5_crossingacc,x6_interceptions,x7_ballrecov,x8_nowaythru,x9_clearance,x10_dribbsucc,x11_duelwon,x12_aerialduelwon,x13_cleansheet,x14_percentsaved,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman
kieran teo,non-gk,25,25,76.75,81.25,48.25,36.53846154,53.84615385,34.7826087,25,67.75,58,67.75,0,0,28.0958612,41.2183612,56.3181689,47.04237458,53.19759197,49.63095318,52.8433612,45.82584448,46.88834448,45.54834448,51.47334448,0,0,1,0,1,0,1,0,0,0,1
ryaan sanizal,non-gk,25,25,82,64.75,48.25,51.92307692,56.73076923,49.45652174,42.1875,69.25,50.5,51.25,0,0,28.05239339,40.27489339,57.3669607,53.10737876,53.8350857,53.0087291,53.96989339,45.97158236,47.14345736,43.79658236,50.39658236,0,0,1,1,1,1,1,0,0,0,1
fairuz fazli,non-gk,25,25,88,64,62.5,100,86.29807692,69.02173913,100,81.25,46,52,0,0,36.4184908,49.2034908,75.65829849,79.85587793,69.05339465,73.05188545,64.8709908,55.52389632,56.99889632,50.24389632,58.38139632,0,0,1,1,1,1,1,1,1,1,1
danish haqimi,non-gk,25,25,92.5,72.25,25,75.96153846,100,57.60869565,62.5,62.5,65.5,70.75,0,0,35.84851171,49.27851171,74.4983194,69.0086204,62.19908863,67.81760033,60.90351171,45.26390468,52.43890468,49.98890468,55.35140468,0,0,1,1,1,1,1,0,1,0,1
abdullah nur adam,non-gk,25,25,84.25,75.25,25,59.61538462,56.73076923,80.43478261,78.125,100,41.5,43.75,0,0,31.46029682,44.47029682,64.37770067,67.65563545,57.76260452,60.81790134,59.18529682,48.39186873,53.94811873,48.44436873,59.58186873,0,0,1,1,1,1,1,0,1,0,1
yazid aqil,non-gk,25,25,85,70,49.75,46.15384615,49.51923077,100,46.875,43.75,46.75,62.5,0,0,29.83490385,42.73240385,59.28634615,54.895,52.44855769,55.62846154,54.82240385,44.10721154,44.91346154,42.05221154,44.07721154,0,0,1,1,1,1,1,0,0,0,0
syafi hilman,non-gk,25,25,100,25,25,25,32.21153846,25,25,25,100,25,0,0,22.61057692,32.86057692,44.83173077,34.86538462,40.72115385,38.08173077,46.36057692,32.64423077,41.39423077,37.89423077,41.64423077,0,0,0,0,0,0,0,0,0,0,0
raoul suhaimi,non-gk,25,25,62.5,25,25,53.84615385,25,25,40.625,25,100,25,0,0,23.72355769,30.97355769,43.14903846,41.25480769,41.79086538,39.57692308,40.72355769,31.98317308,41.51442308,38.35817308,42.10817308,0,0,0,0,0,0,0,0,0,0,0
hassan sunny,gk,25,25,91,76.75,25,39.42307692,56.73076923,26.63043478,32.8125,62.5,81.25,100,43.75,49.19354839,55.19935518,60.9963713,64.21315635,51.86074833,56.03753135,54.0786204,56.36983905,43.67131062,50.93693562,52.51381062,57.20131062,1,1,1,1,1,1,1,0,1,1,1
muhammad zainol bin gulam mohamed,gk,25,25,89.5,62.5,25,25,39.42307692,25,25,25,25,25,25,100,45.01115385,47.17115385,41.33846154,28.77076923,31.54230769,34.19846154,41.62115385,30.38846154,31.63846154,27.32846154,27.32846154,0,0,0,0,0,0,0,0,0,0,0
