Player Name,NATIONALITY,HEIGHT,PREFERRED FOOT,SHIRT NUMBER,POSITION,Goals per game,Assists,Accurate per game,Acc. long balls,Acc. crosses,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Succ. dribbles,Total duels won,Aerial duels won,Clean sheets,Saves per game,Traditional Keeper,Sweeper Keeper,Ball Playing Defender,No Nonsense Defender,Full Back,All Action Midfielder,Midfield Playmaker,Traditional Winger,Inverted Winger,Goal Poacher,Target Man
shawal anuar,SIN,164 cm,Right,7,F,100.0,100.0,84.25,46.75,56.5,41.265060240963855,48.57142857142857,34.78260869565217,31.25,79.75,50.5,50.5,,,,,54.07165194941255,49.352695315423176,57.88777931602184,55.81623419142408,68.93845487540224,73.41238195016089,76.5498819501609,73.9073819501609,70.86988195016089
haiqal pashia,SIN,161 cm,Right,23,F,37.5,37.5,92.5,100.0,100.0,25.0,31.42857142857143,29.89130434782608,29.6875,79.75,61.0,25.0,,,,,54.01510093167702,43.6146350931677,58.98429736024845,48.23841614906833,62.40536878881988,61.973272515527945,56.43264751552795,48.423272515527955,56.56077251552796
song ui young,SIN,172 cm,Right,15,M,62.5,25.0,86.5,60.25,49.75,36.74698795180723,43.57142857142857,29.89130434782608,29.6875,82.0,56.5,65.5,,,,,55.06366805732245,48.11373578163585,54.32578186971489,50.526892913267986,54.6848610435531,54.97106941742124,57.76794441742123,60.03356941742124,62.508569417421235
adam swandi,SIN,170 cm,Right,27,M,62.5,37.5,86.5,66.25,49.75,42.16867469879518,42.14285714285714,41.30434782608695,25.0,75.25,48.25,46.75,,,,,53.22188692658834,46.53902604205643,52.23637057546958,50.117164558856544,56.11579398338695,55.044817593354786,56.78231759335478,56.16481759335478,58.15231759335478
hami syahin,SIN,166 cm,Right,16,M,25.0,25.0,92.5,69.25,62.5,55.722891566265055,83.57142857142856,49.45652173913044,34.375,78.25,56.5,64.75,,,,,66.00278736062262,59.085974519194785,62.726008100725885,61.03730019456709,60.63129209384121,51.98376683753648,51.227516837536484,48.60876683753648,56.183766837536474
anumanthan kumar,SIN,178 cm,Right,6,M,25.0,25.0,94.75,91.0,25.0,31.325301204819276,43.57142857142857,29.89130434782608,28.125,100.0,48.25,85.0,,,,,60.15931564768391,50.00658216717803,54.21548819501608,51.01363990121978,57.6356517062037,47.35201068248148,51.08326068248147,51.00451068248148,60.417010682481475
hafiz nor,SIN,166 cm,Right,11,M,25.0,37.5,85.75,56.5,57.25,34.93975903614458,43.57142857142857,39.67391304347825,37.5,85.0,57.25,70.0,,,,,55.79968102222555,51.01859762029484,56.72231441293123,51.39656944548379,57.91425503255257,51.83870201302102,52.10120201302103,49.29120201302103,57.65370201302103
hariss harun,SIN,178 cm,Right,14,D,25.0,37.5,91.75,64.75,25.0,50.3012048192771,68.57142857142857,42.934782608695656,37.5,100.0,54.25,58.75,,,,,62.01359799446231,57.97746220908478,57.69650246950536,57.11687326947542,60.185370799970066,48.62364831998802,53.423648319988025,50.141148319988034,61.16614831998803
christopher van huizen,SIN,170 cm,Right,22,D,25.0,37.5,83.5,51.25,49.75,58.433734939759034,66.42857142857143,70.65217391304347,60.9375,76.0,53.5,70.0,,,,,63.99769260270897,63.90151173015041,60.665714332485216,61.48456334655392,60.28259901406869,51.144664605627476,53.32903960562748,49.79716460562748,56.62216460562748
lionel tan,SIN,183 cm,Right,5,D,25.0,25.0,91.75,61.75,25.0,61.14457831325301,75.71428571428571,72.28260869565219,51.5625,62.5,47.5,64.75,,,,,64.88487268951582,60.77440142557809,54.73314183753648,60.03959047369602,56.46519863615954,42.525954454463815,47.354079454463815,45.248454454463825,50.01095445446382
bill mamadou,SIN,,Right,3,D,25.0,25.0,100.0,25.0,25.0,34.036144578313255,32.14285714285714,33.152173913043484,40.625,100.0,75.25,25.0,,,,,49.15087461647833,49.04940975080446,50.34425886776922,45.51206764947991,53.51780878171069,43.78037351268428,50.83662351268428,46.55537351268428,60.31787351268427
izwan mahbud,SIN,180 cm,Right,1,G,25.0,25.0,83.5,51.25,25.0,39.4578313253012,52.14285714285714,25.0,31.25,100.0,81.25,62.5,,63.70967741935483,,,56.85636833046472,53.179552495697074,56.39756884681584,51.23260327022375,54.69253442340791,45.94451376936317,53.13201376936317,52.402013769363165,64.58951376936317
zharfan rohaizad,SIN,180 cm,Right,28,G,25.0,25.0,84.25,67.75,25.0,52.10843373493975,57.857142857142854,25.0,39.0625,25.0,100.0,100.0,,54.03225806451613,,,64.3553334767642,51.1436252151463,54.04968265920826,53.997336488812394,52.971403829604135,38.75243653184165,48.20556153184165,49.94243653184165,49.94243653184165
naufal azman,SIN,175 cm,Right,7,F,25.0,37.5,74.5,25.0,25.0,32.2289156626506,32.85714285714286,25.0,31.25,62.5,64.75,43.75,,,,,43.1335413080895,40.39656196213425,43.00860585197935,40.02790877796902,46.14680292598967,38.32672117039587,43.86422117039587,41.254221170395866,47.92922117039587
mohamed iqbal bin hamid hussain,SIN,186 cm,Left,16,M,37.5,50.0,85.0,64.75,46.75,28.6144578313253,47.85714285714286,39.67391304347825,25.0,86.5,58.0,46.0,,,,,52.98600202050439,46.95432911771309,53.985855721020734,49.428131407618054,58.857275686597326,53.125410274638924,55.03791027463893,50.78291027463892,58.732910274638925
huzaifah aziz,SIN,177 cm,Right,53,M,25.0,37.5,89.5,75.25,25.0,43.0722891566265,64.28571428571428,73.91304347826087,32.8125,25.0,52.0,62.5,,,,,58.943434015565366,47.98811297986979,46.98457751814712,52.5775048641772,53.78417734603009,37.97854593841203,42.31917093841203,39.36104593841203,38.83604593841203
naqiuddin eunos,SIN,176 cm,Right,17,M,62.5,37.5,84.25,51.25,49.75,59.33734939759036,71.42857142857143,62.5,53.125,79.75,50.5,64.0,,,,,63.757267641996556,62.51215146299484,60.877842082616176,62.444888123924265,60.57454604130809,58.41906841652324,61.78781841652324,61.83406841652323,63.74656841652323
faisal shahril,SIN,181 cm,Right,13,M,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,25.0,25.0,25.0,25.0,25.0,25.0,26.25,25.0,25.0
bernard pereira joshua,SIN,178 cm,Right,8,D,25.0,25.0,91.0,58.0,62.5,76.50602409638554,100.0,78.80434782608695,50.0,92.5,55.0,61.75,,,,,72.64844028287061,72.65510607647984,69.7308198009429,70.90133839706652,64.72551859612364,55.401207438449454,55.27620743844945,51.98870743844945,61.77620743844945
syahir ahmad,SIN,155 cm,Right,14,D,25.0,25.0,82.75,81.25,57.25,34.93975903614458,35.0,34.78260869565217,31.25,78.25,49.75,25.0,,,,,50.00190151911996,43.675569669984284,50.03310633839707,44.7542247249869,52.73361838658984,47.28194735463593,46.481947354635935,40.53194735463593,49.75694735463593
muhammad shakir bin hamzah,SIN,179 cm,Right,22,D,50.0,37.5,82.75,58.0,49.75,57.53012048192771,68.57142857142857,59.23913043478261,54.6875,83.5,55.0,61.0,,,,,63.74753526528474,62.51643876749233,61.33648642707476,61.55664540148171,60.86140897440695,56.768688589762775,60.040563589762776,58.33118858976278,63.056188589762776
akmal azman,SIN,173 cm,Right,6,D,25.0,25.0,87.25,35.5,37.75,50.3012048192771,52.14285714285714,57.60869565217391,43.75,25.0,42.25,59.5,,,,,51.98550793235052,45.9494032028736,43.709840978822115,47.90997885953753,47.26013788071541,36.06855515228616,38.06855515228616,36.421055152286165,35.55855515228616
rudy khairullah,SIN,167 cm,Left,24,G,25.0,25.0,92.5,64.75,25.0,49.39759036144578,62.857142857142854,29.89130434782608,32.8125,25.0,67.75,75.25,,45.56451612903226,,,59.32959748933622,45.86512992965651,47.65566353925017,50.27984041757091,50.85792687832074,36.2435457513283,42.1591707513283,41.8235457513283,41.448545751328304
hairul syirhan,SIN,178 cm,Right,1,G,25.0,25.0,91.0,74.5,25.0,37.65060240963855,50.714285714285715,26.63043478260869,34.375,25.0,72.25,100.0,,54.03225806451613,,,60.20923688542992,44.53097489336227,48.24926055152286,49.20277669684951,51.40851614532665,37.40615645813066,43.84990645813066,45.41615645813066,44.02865645813066
amiruldin asraf,SIN,178 cm,Right,19,F,50.0,25.0,80.5,100.0,62.5,26.80722891566265,28.57142857142857,26.63043478260869,25.0,55.0,60.25,62.5,,,,,53.55910349472424,40.20952480730375,51.05688748783955,45.50484210132455,53.270454613485,51.927681845394,52.327681845394,51.912681845394,52.55018184539399
ignatius ang yu heng,SIN,168 cm,Right,30,M,87.5,50.0,84.25,81.25,57.25,30.42168674698795,42.85714285714286,31.52173913043478,25.0,70.75,49.0,56.5,,,,,54.59026079473172,44.198869452967145,53.748969916934826,50.7839983536631,59.42502843672829,63.39351137469131,65.3310113746913,66.23351137469132,63.34601137469131
elijah lim,SIN,165 cm,,14,M,25.0,25.0,70.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,100.0,25.0,,,,,39.25,33.4,38.5,34.6,40.0,31.0,39.75,37.15,40.9
jordan emaviwe,SIN,195 cm,Left,17,D,37.5,25.0,91.75,79.0,37.75,70.18072289156626,91.42857142857143,60.86956521739131,76.5625,89.5,55.75,74.5,,,,,76.07820072214324,73.69955651799745,66.98003269288333,70.33585066975978,64.78206797687645,54.807702190750575,60.42332719075057,58.29520219075057,65.15770219075058
madhu mohana,SIN,183 cm,Right,6,D,37.5,50.0,91.75,68.5,62.5,68.37349397590361,93.57142857142857,49.45652173913044,67.1875,25.0,55.0,59.5,,,,,69.20960964977924,60.30933295292973,59.424193341689744,64.03739055601287,62.78944721432313,51.97990388572926,53.33927888572925,47.40240388572926,45.302403885729255
darren teh,SIN,169 cm,Right,2,D,25.0,25.0,86.5,65.5,49.75,50.3012048192771,69.28571428571428,78.80434782608695,40.625,75.25,47.5,40.0,,,,,59.92421911247474,57.510024320886025,56.35515930180349,57.27097264835741,56.89581334655391,47.56157533862157,48.13032533862157,43.64657533862157,51.55907533862157
kanadi harith,SIN,165 cm,Both,11,D,25.0,37.5,82.0,56.5,57.25,57.53012048192771,69.28571428571428,82.06521739130434,53.125,86.5,46.75,40.75,,,,,61.294732470253685,63.12253348798922,60.57609434632942,60.77139695427674,60.62030260794732,52.77637104317893,52.77012104317893,46.65887104317893,56.183871043178925
fudhil iyadh,SIN,165 cm,Right,20,D,25.0,25.0,88.75,81.25,43.75,39.4578313253012,51.42857142857143,67.3913043478261,29.6875,72.25,47.5,25.0,,,,,54.58754069071316,48.817044731721914,50.717580492778566,50.177090847863504,54.673260355084935,44.862429142033974,45.784304142033974,40.13742914203398,48.34992914203397
tajeli salamat,SIN,175 cm,Right,3,D,25.0,50.0,87.25,68.5,53.5,74.69879518072288,97.14285714285714,62.5,54.6875,43.75,50.5,67.0,,,,,70.11403399311531,63.68417598967298,61.353540232358,66.131247848537,63.256457616179006,50.1762080464716,51.1855830464716,45.703708046471604,47.69120804647161
emmeric ong yu min,SIN,182 cm,Right,5,D,25.0,25.0,90.25,100.0,25.0,31.325301204819276,37.142857142857146,41.30434782608695,35.9375,25.0,58.0,62.5,,,,,55.70193210731124,40.25096881314076,43.17140822607199,44.885658534760154,50.47550030868817,36.40482512347527,41.50170012347527,38.872325123475264,38.64732512347527
amer hakeem,SIN,194 cm,Right,13,D,37.5,25.0,86.5,62.5,100.0,39.4578313253012,52.14285714285714,41.30434782608695,39.0625,25.0,54.25,72.25,,,,,56.625335721769055,45.184824234827495,55.29591123812018,51.28553805283245,54.37837681471227,52.66372572588491,46.91685072588491,45.246225725884905,42.471225725884906
hafiz ahmad,SIN,173 cm,Right,21,G,25.0,25.0,88.0,65.5,25.0,53.01204819277108,72.85714285714286,29.89130434782608,39.0625,100.0,79.0,91.75,,52.82258064516128,,,67.99333242909526,62.295732339295064,63.3996093223827,60.7195090922697,60.07114976988701,49.11333490795481,56.46645990795481,57.4158349079548,68.0283349079548
zamani zamri,SIN,174 cm,Right,24,F,25.0,37.5,86.5,100.0,49.75,25.0,26.428571428571427,25.0,25.0,100.0,62.5,70.0,,,,,56.50928571428572,46.67142857142857,56.78035714285714,48.346785714285716,60.15142857142856,53.60357142857143,54.89107142857142,51.603571428571435,62.47857142857143
louka tan vaissiere,SIN,,,56,F,25.0,25.0,25.0,25.0,25.0,25.0,28.57142857142857,25.0,25.0,25.0,37.75,25.0,,,,,26.810714285714283,26.70357142857143,27.269642857142856,26.555714285714284,26.198571428571427,25.708928571428572,28.23392857142857,26.98392857142857,27.62142857142857
gabriel quak,SIN,175 cm,Right,22,M,25.0,37.5,75.25,55.0,31.75,26.80722891566265,30.0,28.26086956521739,26.5625,70.0,52.75,25.0,,,,,42.708660948140384,37.987855552645364,42.48439136982714,38.77467129387114,47.791529924044,40.65448696961761,43.745111969617604,38.556986969617604,46.6944869696176
shahdan bin sulaiman,SIN,180 cm,Right,8,M,37.5,62.5,91.75,78.25,81.25,40.361445783132524,53.57142857142857,55.97826086956522,28.125,100.0,45.25,25.0,,,,,56.91800082316844,52.773522973883104,61.94845047893437,55.872757240140686,67.88180676120632,64.29197270448253,59.910722704482524,50.71697270448254,61.10447270448253
halim hazzuwan,SIN,169 cm,Right,7,M,50.0,25.0,79.75,53.5,35.5,28.6144578313253,35.714285714285715,38.04347826086956,25.0,75.25,47.5,43.75,,,,,46.86055170994537,41.72653408665719,45.73504826760458,43.353659357928606,48.51361109032403,46.222444436129614,49.39744443612961,49.52244443612961,53.49744443612961
justin hui,SIN,,Right,17,M,25.0,25.0,80.5,75.25,37.75,27.710843373493976,32.85714285714286,36.413043478260875,26.5625,85.0,47.5,49.75,,,,,49.81327480730374,43.434124167477364,48.26057579697673,44.0215022824216,51.10717648544489,44.47024559417796,46.13587059417796,43.48024559417796,52.367745594177954
nazari nazrul,SIN,165 cm,Right,4,D,25.0,50.0,82.75,56.5,34.75,78.3132530120482,82.14285714285714,91.84782608695653,46.875,68.5,46.0,62.5,,,,,66.78641023722219,66.89276752974631,60.33175231983836,66.09569913193147,62.33894681209309,48.87732872483723,51.85857872483723,47.41982872483723,53.11982872483724
vestering jordan,SIN,177 cm,Right,3,D,37.5,25.0,79.0,51.25,55.0,60.24096385542168,74.28571428571428,72.28260869565219,60.9375,70.0,46.0,67.0,,,,,63.64965324029035,63.52032225173988,59.636173248896206,61.67976259073561,56.797339341839404,51.42556073673576,52.697435736735756,51.373060736735766,55.19806073673577
nazhiim harman,SIN,176 cm,Right,21,D,25.0,25.0,88.75,58.0,62.5,48.493975903614455,67.14285714285714,55.97826086956522,40.625,43.75,52.75,62.5,,,,,59.362118723340565,51.713449824141286,54.33134634812542,54.538351043927264,54.597004695801836,45.75105187832074,44.932301878320736,42.24855187832074,44.57355187832074
adam reefdy,SIN,170 cm,Both,62,D,25.0,25.0,84.25,55.0,25.0,35.8433734939759,46.42857142857143,51.08695652173914,29.6875,75.25,46.75,49.75,,,,,51.18608835964977,46.72742058295293,47.00841731834169,46.80448739055601,50.157320072214326,40.47905302888572,44.13842802888573,42.20405302888573,49.59155302888573
azman danish irfan,SIN,179 cm,Left,5,D,25.0,25.0,85.75,40.75,49.75,48.493975903614455,57.857142857142854,73.91304347826087,45.3125,62.5,43.0,49.75,,,,,55.1197507109182,53.880088022899045,51.938889049988774,53.273972161939675,52.84883311195092,44.41090824478037,44.76403324478037,41.68840824478036,46.975908244780356
zaiful nizam,SIN,174 cm,Right,19,G,25.0,25.0,86.5,71.5,25.0,39.4578313253012,53.57142857142857,25.0,28.125,100.0,85.0,89.5,,49.19354838709677,,,62.98315404475043,55.51848106712565,60.26917598967297,54.90938898450946,58.207712994836484,48.246835197934594,55.653085197934594,56.81183519793459,67.83683519793459
kenji syed rusydi,SIN,176 cm,Right,12,G,25.0,25.0,86.5,57.25,25.0,49.39759036144578,58.57142857142857,29.89130434782608,29.6875,25.0,100.0,100.0,,55.241935483870975,,,62.521740346479085,49.4758442153708,53.21334211067874,53.09198327471376,52.25739116403503,37.92908146561401,46.91345646561401,49.366581465614004,49.366581465614004
syukri bashir,SIN,172 cm,Right,19,F,25.0,25.0,100.0,25.0,25.0,25.0,29.285714285714285,26.63043478260869,25.0,25.0,42.25,43.75,,,,,40.76187888198758,30.24743788819876,33.34759316770186,34.68590062111801,42.425807453416155,30.480822981366458,33.45582298136645,31.64332298136646,31.568322981366464
kamarudin haziq,SIN,179 cm,Right,42,F,25.0,25.0,81.25,25.0,25.0,29.518072289156628,34.285714285714285,29.89130434782608,29.6875,75.25,44.5,25.0,,,,,40.54834103494725,38.97074524807304,40.134318874878396,38.01469842101325,44.004129546134855,36.93327681845394,40.367651818453936,37.195776818453936,45.70827681845394
amy recha,SIN,171 cm,Right,36,M,25.0,25.0,81.25,25.0,55.0,38.554216867469876,37.85714285714286,33.152173913043484,25.0,81.25,52.0,25.0,,,,,43.51268614832,42.82337704856694,47.84874466811344,42.436921349996254,48.1631766818828,44.29127067275312,43.74127067275312,39.903770672753126,49.69127067275313
daniel goh,SIN,169 cm,Right,11,M,75.0,37.5,81.25,62.5,42.25,34.036144578313255,42.85714285714286,42.934782608695656,26.5625,85.0,53.5,46.75,,,,,52.4658979084038,47.42028707999701,52.57919287398039,50.134971376187984,55.59952850220759,57.28218640088303,61.37281140088302,62.42218640088303,64.25968640088304
ho wai loon,SIN,169 cm,Right,24,M,25.0,25.0,85.0,59.5,52.0,49.39759036144578,56.42857142857143,51.08695652173914,29.6875,62.5,46.75,34.75,,,,,53.21759438374615,48.049679619097496,50.56383900508868,49.752619920676494,52.13003091558782,44.100137366235124,43.70951236623513,39.457637366235126,45.68263736623513
junki kenn yoshimura,SIN,175 cm,Right,52,M,25.0,25.0,90.25,67.0,85.0,59.33734939759036,75.71428571428571,95.1086956521739,43.75,55.0,45.25,57.25,,,,,65.2080595674624,61.181980655541416,62.4280982937963,63.18861483199879,60.815516538202495,53.205706615280995,48.418206615281,44.115706615281,48.01570661528099
arshad shamim,SIN,170 cm,Right,20,M,25.0,37.5,85.0,62.5,45.25,45.78313253012048,40.714285714285715,44.565217391304344,35.9375,79.75,49.0,62.5,,,,,55.21562963032253,50.66075422809249,53.524877694005845,50.91863447579137,56.365006781785524,48.380627712714215,49.54000271271421,46.33562771271421,53.87312771271421
syed firdaus hassan,SIN,173 cm,Right,15,M,25.0,37.5,91.75,70.0,62.5,53.01204819277108,62.142857142857146,65.76086956521739,46.875,79.75,52.0,62.5,,,,,64.00841783282198,59.97561587966774,61.74728401182369,60.22932275686598,62.97453874504228,54.23706549801691,53.655815498016906,48.959565498016914,56.647065498016914
hilman norhisam,SIN,167 cm,Right,,M,25.0,25.0,87.25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,62.5,25.0,,,,,38.0875,29.995,33.7375,32.980000000000004,40.45,29.9875,34.9875,31.87,33.745000000000005
martens daniel,SIN,179 cm,Right,31,D,25.0,25.0,87.25,62.5,100.0,43.0722891566265,42.85714285714286,38.04347826086956,37.5,25.0,40.0,100.0,,,,,56.836920040410085,44.45608658235426,54.357617114420414,50.49876262815236,53.72364551373195,50.34195820549277,42.46695820549278,42.09945820549278,39.09945820549278
low gareth,SIN,170 cm,Left,28,D,25.0,62.5,86.5,63.25,56.5,53.01204819277108,51.42857142857143,77.17391304347827,64.0625,85.0,40.0,45.25,,,,,60.38817714959215,61.42321681134476,59.46338261430816,59.4109842475492,65.67385163324104,56.55791565329642,56.53604065329642,47.467915653296416,56.20541565329642
kenji austin,SIN,185 cm,Right,,D,25.0,25.0,62.5,25.0,25.0,34.036144578313255,32.14285714285714,25.0,40.625,25.0,25.0,25.0,,,,,34.343265920826155,31.04614888123924,29.27415017211704,31.67685025817556,34.090200086058516,27.979830034423408,30.011080034423408,26.854830034423408,26.854830034423408
hassan sunny,SIN,185 cm,Left,18,G,25.0,25.0,89.5,76.0,25.0,41.265060240963855,58.57142857142857,26.63043478260869,32.8125,62.5,86.5,100.0,,52.82258064516128,,,64.92029325376038,52.89318444585796,57.08079562036968,54.893516800119734,56.61397117975007,43.89496347190003,51.685588471900026,53.32996347190002,58.27996347190002
muhammad zainol bin gulam mohamed,SIN,180 cm,Right,25,G,25.0,25.0,89.5,62.5,25.0,25.0,39.285714285714285,25.0,25.0,25.0,25.0,25.0,,100.0,,,41.317857142857136,28.754285714285714,31.528571428571432,34.17785714285714,41.614285714285714,30.385714285714286,31.635714285714286,27.325714285714284,27.325714285714284
tan jonan,SIN,,Left,55,F,25.0,25.0,79.75,75.25,62.5,34.036144578313255,40.714285714285715,38.04347826086956,31.25,85.0,55.75,62.5,,,,,54.91115411958393,48.75243770111502,55.927216942303374,49.5444123699768,55.13219542767342,50.85587817106937,49.86837817106937,47.405878171069375,56.06837817106937
danish qayyum,SIN,180 cm,Right,24,F,37.5,25.0,82.75,45.25,58.75,35.8433734939759,38.57142857142857,41.30434782608695,35.9375,91.75,58.0,57.25,,,,,52.44838649629574,50.435650396617525,55.55857259784479,49.67265509241936,54.307832494574576,52.46375799782983,53.12313299782982,52.12625799782983,60.30125799782983
kan kobayashi,SIN,182 cm,Right,7,M,25.0,75.0,90.25,72.25,58.75,66.56626506024097,65.0,42.934782608695656,42.1875,78.25,46.75,52.75,,,,,63.1259409376637,58.05785162388685,61.57024063645888,60.39341801990571,68.53942738344684,57.90939595337873,57.13127095337873,48.13189595337874,55.81939595337873
khairin nadim,SIN,171 cm,,42,M,37.5,37.5,79.0,57.25,47.5,34.93975903614458,43.57142857142857,42.934782608695656,31.25,73.75,50.5,25.0,,,,,48.28272450048641,44.582401968120934,48.7603578911921,45.81765640200554,52.47979851081344,48.016419404325376,49.37891940432537,44.55391940432537,51.266419404325376
fathullah rahmat,SIN,171 cm,Right,16,M,25.0,25.0,88.75,69.25,100.0,46.68674698795181,55.0,51.08695652173914,29.6875,75.25,45.25,75.25,,,,,60.313007464641174,53.217799240440016,62.95239752488214,56.45920770036669,60.06806017548454,57.74984907019382,50.00922407019382,47.55734907019382,53.594849070193824
andrew aw yong rei,SIN,165 cm,,19,M,37.5,25.0,82.75,67.75,49.75,36.74698795180723,34.285714285714285,44.565217391304344,40.625,81.25,40.0,62.5,,,,,53.31825656663922,48.581569632567536,51.53778109331737,48.68142707475866,53.3361459814413,49.75570839257652,50.19945839257652,49.035708392576524,54.47320839257652
